"","p_value","FDR","log2FC","linearFC"
"TUBG2",0.646118832612595,0.785944786875963,-0.0599583681341009,0.959291801219405
"ABCB10",0.330588066818767,0.529458461613462,-0.0195320107594554,0.986552675900228
"BAZ1A",0.26273266650807,0.460093375277133,0.0257324671765744,1.0179964053913
"STRN4",0.374283152762318,0.567457080808969,0.0286013686683582,1.0200227776259
"SLC2A9",0.671544347144648,0.803085326429184,-0.0410107350888111,0.97197375550109
"ZNF277",0.604805408027245,0.760326798662822,0.981919673758368,1.97509175085264
"AASDHPPT",0.064015955771261,0.180595167884178,0.0411143191109495,1.02890823532054
"METTL5",0.662944041260775,0.797325320389781,0.0193195230862031,1.01348133763051
"OSTC",0.0146323866197717,0.0654414610434795,0.109279050117156,1.07868905457695
"CMC2",0.00541416643391695,0.0322955817020235,-0.127153028679114,0.915636558417637
"SDHAF3",0.441952774101789,0.626310217012821,0.105726528971163,1.07603613669722
"CDC42SE2",0.0373386467896735,0.125546214185164,-0.138048827466589,0.908747359718255
"DROSHA",0.511622365241454,0.686187715033769,-0.0327789058171302,0.977535563048631
"UBQLN4",0.353646635764938,0.550027378772378,0.047368431847346,1.03337825554129
"TMPRSS4",0.163457120692082,0.338666601454177,-0.049311393378737,0.966397485924912
"SNX15",0.231632510446826,0.424374404633272,-0.0450368611645082,0.96926505169089
"CNNM1",0.557086027076809,0.721048876418884,0.0366549811783248,1.02573281320738
"HEBP1",0.293790285279156,0.491826547768191,0.0280516213183759,1.01963416605023
"DUSP22",0.34927856846421,0.546996488506137,0.162209181030844,1.11899933661523
"VPS45",0.323709165056911,0.52294429664938,0.0249644099863637,1.0174545920861
"PNO1",0.525322001942831,0.695781722592674,0.0182152406492868,1.01270588516433
"MRPL17",0.564253981342453,0.727033951568441,-0.0118365585810345,0.991829087658365
"ARHGAP35",0.745435694888797,0.854073320309382,0.00768997011419259,1.0053445123258
"FAM114A2",0.206854772353414,0.394155868903455,-0.0352716212355375,0.975848017164334
"AGPAT3",0.323028077363471,0.522050115549496,-0.03215047733147,0.977961463873504
"HELLS",0.026192043243249,0.0987359198078074,0.0372677123657645,1.02616854768446
"C1GALT1",0.988234759638733,0.995495233236405,-0.000588924744832298,0.999591871780547
"GLRX2",0.525789050158447,0.696162162616336,0.0627701129117284,1.04446931802679
"TOPORS",0.263829128943167,0.461165653838291,0.0959499489471156,1.06876891203922
"MBIP",0.481323281726726,0.661486102040559,-0.0565455062149578,0.961563803167638
"LANCL2",0.203285310397995,0.390720286589289,0.0282218552882476,1.01975448712166
"KIF15",0.408964922349288,0.597353011691339,-0.0262074234967713,0.981998398281869
"RAD18",0.000735570325237613,0.00820150891245862,0.110630716309034,1.07970015582445
"TM7SF3",0.0864218936351623,0.220237766893086,0.0812095471564867,1.05790460995262
"HOMER3",0.262345045452204,0.459651434806431,0.0457522548826557,1.03222126327444
"FARSB",0.230265003416528,0.422815523437484,-0.0149715579029248,0.989676167252465
"IARS2",0.0712282441070598,0.194051914038674,0.0319317022280075,1.02238012957171
"FIRRM",0.112201265432769,0.264083160862276,0.102926410380537,1.07394968972761
"SLX9",0.560697854623075,0.723777798459818,0.0142807228706516,1.00994779640955
"BRWD1",0.463075616529309,0.646174940413159,-0.0398786412213905,0.972736770096887
"KLC4",0.714681720537131,0.834768762115911,0.00938145509545052,1.00652391779526
"C19orf12",0.103155284833817,0.249614407955732,0.214721261837845,1.16047968042266
"DIAPH3",0.914178993092743,0.95881255362219,0.0036516009490839,1.00253430283242
"NRBP2",0.525311321569791,0.695781722592674,-0.0587487289319455,0.96009646439784
"BMP2K",0.377039688650787,0.569915021928325,-0.105580691550268,0.92943076705236
"STARD5",0.497977877967223,0.674855266316236,-0.125298272592689,0.916814475144015
"ATG3",0.352267996828422,0.548926368249011,-0.0169625824335604,0.988311283891867
"PDS5B",0.150596034649599,0.321376257515598,-0.0167617490915646,0.988448873381265
"SMC4",0.0046107836768556,0.0290043455890747,0.0584119309773428,1.04131888176658
"MAN2C1",0.375267778194507,0.567792844655915,-0.0644629154702887,0.956301261855643
"SACM1L",0.363067297531605,0.557789142669167,-0.0243787832380065,0.983243886960359
"OLA1",0.000535202111079049,0.0064794291080931,0.0743429567411198,1.05288141540403
